區域別,年齡別,性別,識字者合計人數,識字者研究所博士畢業人數,識字者研究所博士肄業人數,識字者研究所碩士畢業人數,識字者研究所碩士肄業人數,識字者大學畢業人數,識字者大學肄業人數,識字者專科二或三年制畢業人數,識字者專科二或三年制肄業人數,識字者專科五年制後二年畢業人數,識字者專科五年制後二年肄業人數,識字者高級中等普通教育高中畢業人數,識字者高級中等普通教育高中肄業人數,識字者高級中等職業教育高職畢業人數,識字者高級中等職業教育高職肄業人數,識字者高級中等職業教育高職五專前三年肄業人數,識字者國中畢業人數,識字者國中肄業人數,識字者初職畢業人數,識字者初職肄業人數,識字者國小畢業人數,識字者國小肄業人數,識字者自修人數,不識字者人數,年份
桃園區,15 ~ 19 歲,1,15258,0,0,0,0,0,3572,0,104,0,4,119,4441,466,4751,222,424,848,0,0,27,280,0,0,106
桃園區,15 ~ 19 歲,2,14198,0,0,0,0,0,3474,0,61,0,11,136,4305,270,3676,706,392,866,0,0,27,273,1,0,106
桃園區,20 ~ 24 歲,1,16111,0,3,174,921,3479,7820,256,204,96,9,294,202,1472,784,86,249,43,0,0,5,9,5,0,106
桃園區,20 ~ 24 歲,2,14957,0,1,90,590,4344,6907,114,127,527,8,271,167,984,393,164,203,48,0,0,5,13,1,0,106
桃園區,25 ~ 29 歲,1,14951,6,96,1829,634,7042,1636,278,141,42,4,455,152,1508,726,36,294,56,0,0,7,9,0,2,106
桃園區,25 ~ 29 歲,2,14373,2,32,1086,479,8717,985,217,100,277,7,510,145,1104,419,34,193,56,0,0,3,6,1,0,106
桃園區,30 ~ 34 歲,1,15455,86,92,2381,408,6443,912,534,329,176,10,472,199,2055,781,45,441,77,0,0,9,4,1,2,106
桃園區,30 ~ 34 歲,2,16122,25,38,1632,348,8083,597,754,210,396,17,607,179,1941,540,49,496,98,0,0,82,26,4,3,106
桃園區,35 ~ 39 歲,1,18722,182,96,2328,438,5822,590,1698,344,662,133,589,235,3801,583,20,1020,137,0,0,17,24,3,2,106
桃園區,35 ~ 39 歲,2,21018,62,56,1622,345,7234,530,2818,337,878,118,994,173,4025,417,12,1020,116,0,0,170,72,19,4,106
桃園區,40 ~ 44 歲,1,18011,154,87,2214,368,4402,226,2187,176,1367,75,1049,224,3634,384,17,1234,144,0,0,35,30,4,2,106
桃園區,40 ~ 44 歲,2,20433,60,42,1539,278,5061,257,3360,183,1425,39,1479,162,4629,292,10,1235,160,0,0,129,73,20,10,106
桃園區,45 ~ 49 歲,1,17329,147,81,1757,279,3277,167,2013,118,1723,87,1356,218,4015,343,8,1474,173,0,0,58,28,7,5,106
桃園區,45 ~ 49 歲,2,19636,65,50,1165,189,3641,229,2535,144,1653,43,1881,211,5437,277,6,1669,181,0,0,168,62,30,7,106
桃園區,50 ~ 54 歲,1,16147,140,54,1310,181,2578,125,1457,95,1897,84,1484,206,3670,311,12,2110,225,0,0,157,39,12,7,106
桃園區,50 ~ 54 歲,2,18171,45,23,660,133,2524,205,1493,125,1501,56,1925,250,5560,314,2,2509,208,0,0,567,59,12,13,106
桃園區,55 ~ 59 歲,1,13960,112,31,761,90,2119,128,999,66,1683,90,1342,193,2796,252,7,2596,173,1,1,478,37,5,7,106
桃園區,55 ~ 59 歲,2,15899,25,6,318,55,1682,155,777,88,1030,37,1501,198,4345,300,1,3293,246,2,0,1710,110,20,30,106
桃園區,60 ~ 64 歲,1,11536,88,11,426,38,1694,89,750,52,1257,58,1272,130,2057,170,2,1739,206,16,8,1401,61,11,9,106
桃園區,60 ~ 64 歲,2,13603,9,3,146,26,1146,83,483,51,682,38,1174,122,3000,190,1,2395,273,31,13,3502,205,30,85,106
桃園區,65 歲以上,1,20250,95,9,442,36,2743,121,974,47,1131,36,1975,197,2546,168,1,2557,486,118,27,5976,415,150,239,106
桃園區,65 歲以上,2,23027,11,0,91,7,1160,60,616,31,488,17,1501,140,2047,143,2,3269,361,99,27,11556,1067,334,2020,106
桃園區,15 ~ 19 歲,1,14821,0,0,0,0,0,3879,0,92,0,2,170,4212,452,4399,198,367,826,0,0,21,203,0,1,107
桃園區,15 ~ 19 歲,2,13896,0,0,0,0,0,3696,0,55,0,9,176,4201,313,3452,676,340,786,0,0,10,182,0,0,107
桃園區,20 ~ 24 歲,1,15945,0,10,167,919,3642,7541,256,203,96,4,285,188,1504,741,85,239,39,0,0,9,13,4,0,107
桃園區,20 ~ 24 歲,2,14723,0,3,100,554,4487,6689,124,121,507,9,267,148,949,363,144,191,51,0,0,3,13,0,0,107
桃園區,25 ~ 29 歲,1,15112,11,79,1840,641,7266,1777,282,107,46,7,407,152,1422,716,33,266,50,0,0,6,3,1,1,107
桃園區,25 ~ 29 歲,2,14539,3,23,1077,521,8912,1060,190,91,328,8,448,153,1064,386,42,166,53,0,0,8,6,0,0,107
桃園區,30 ~ 34 歲,1,15333,79,109,2481,432,6684,987,431,277,126,5,478,172,1816,743,45,376,80,0,0,5,7,0,0,107
桃園區,30 ~ 34 歲,2,15880,21,45,1681,400,8458,638,555,179,326,9,593,160,1681,503,50,417,87,0,0,55,17,5,1,107
桃園區,35 ~ 39 歲,1,18974,184,109,2503,458,6269,686,1494,394,543,114,515,253,3745,637,27,885,124,0,0,17,16,1,5,107
桃園區,35 ~ 39 歲,2,21162,68,58,1774,352,7911,569,2493,356,785,108,902,191,3716,498,16,980,113,0,0,183,73,16,5,107
桃園區,40 ~ 44 歲,1,18336,177,89,2288,373,4693,283,2214,209,1262,83,973,215,3592,415,14,1237,149,0,0,34,32,4,3,107
桃園區,40 ~ 44 歲,2,21050,76,49,1635,317,5534,296,3478,211,1299,60,1435,165,4568,300,10,1229,158,0,0,131,76,23,8,107
桃園區,45 ~ 49 歲,1,17428,127,86,1903,307,3519,175,2108,130,1640,77,1286,225,3855,359,10,1377,170,0,0,46,24,4,5,107
桃園區,45 ~ 49 歲,2,19567,69,52,1293,216,3825,213,2656,145,1634,37,1802,188,5225,284,4,1517,176,0,0,146,64,21,7,107
桃園區,50 ~ 54 歲,1,16139,150,59,1403,216,2572,125,1552,102,1870,92,1453,196,3763,307,8,1889,210,0,0,126,33,13,5,107
桃園區,50 ~ 54 歲,2,18282,51,31,785,154,2709,222,1630,132,1500,54,1880,254,5605,314,2,2271,194,0,0,431,49,14,12,107
桃園區,55 ~ 59 歲,1,14432,131,42,855,101,2269,137,1060,75,1705,78,1390,215,2935,261,9,2576,191,0,0,358,39,5,8,107
桃園區,55 ~ 59 歲,2,16375,30,12,388,74,1828,170,945,113,1156,37,1629,199,4508,307,3,3207,239,1,0,1417,91,21,20,107
桃園區,60 ~ 64 歲,1,12036,96,11,479,50,1773,94,805,58,1383,73,1295,138,2227,188,4,1960,180,10,5,1157,42,8,7,107
桃園區,60 ~ 64 歲,2,14170,10,3,172,28,1256,98,539,64,736,40,1239,135,3327,213,1,2721,274,23,10,3062,188,31,74,107
桃園區,65 歲以上,1,21891,111,13,506,46,3030,135,1105,58,1337,37,2146,210,2881,188,2,2733,519,123,31,6146,395,139,217,107
桃園區,65 歲以上,2,25391,15,1,111,12,1353,80,687,46,599,20,1690,158,2560,176,2,3606,430,113,30,12271,1090,341,1909,107
桃園區,15～19歲,1,14119,0,0,0,0,0,3830,0,91,0,6,201,3993,483,3935,164,325,821,0,0,8,262,0,2,108
桃園區,15～19歲,2,13361,0,0,0,0,0,3748,0,43,0,14,173,4043,314,3092,629,312,758,0,0,5,230,0,0,108
桃園區,20～24歲,1,15793,0,9,129,958,3721,7367,220,183,93,5,279,181,1516,796,69,208,37,0,0,8,11,3,0,108
桃園區,20～24歲,2,14663,0,2,97,546,4698,6501,111,124,481,12,270,136,958,335,156,170,56,0,0,3,7,0,0,108
桃園區,25～29歲,1,15483,14,80,1839,667,7594,1921,294,119,51,6,357,150,1402,665,40,237,38,0,0,5,2,2,1,108
桃園區,25～29歲,2,14994,3,27,1130,548,9222,1166,169,86,358,6,411,146,1088,372,47,159,44,0,0,5,7,0,0,108
桃園區,30～34歲,1,15085,75,107,2435,460,6840,1051,364,215,84,8,482,153,1616,749,37,323,77,0,0,4,5,0,0,108
桃園區,30～34歲,2,15418,18,44,1703,456,8537,654,434,158,271,8,569,142,1411,485,40,344,88,0,0,41,13,2,1,108
桃園區,35～39歲,1,18707,187,123,2646,485,6525,739,1249,424,464,88,481,248,3473,671,34,729,110,0,0,18,12,1,3,108
桃園區,35～39歲,2,20646,63,56,1861,396,8435,583,1965,352,676,89,827,204,3317,540,30,889,107,0,0,186,56,14,6,108
桃園區,40～44歲,1,18917,193,90,2409,434,5100,339,2203,260,1092,90,880,218,3685,477,16,1232,143,0,0,28,23,5,3,108
桃園區,40～44歲,2,21658,82,59,1736,328,6097,319,3566,252,1200,68,1349,170,4528,315,13,1189,149,0,0,135,81,22,5,108
桃園區,45～49歲,1,17356,128,89,2005,320,3706,196,2127,139,1602,75,1210,221,3640,341,12,1307,164,0,0,42,29,3,5,108
桃園區,45～49歲,2,19563,74,48,1383,250,4069,229,2813,155,1591,37,1732,183,4946,268,4,1394,168,0,0,131,66,22,8,108
桃園區,50～54歲,1,16393,154,72,1469,237,2709,130,1660,105,1819,91,1480,208,3896,302,8,1710,190,0,0,115,27,11,3,108
桃園區,50～54歲,2,18521,62,46,920,167,2909,210,1812,143,1522,45,1898,247,5567,322,2,2071,199,0,0,317,47,15,12,108
桃園區,55～59歲,1,14819,142,49,996,113,2366,132,1174,95,1780,82,1403,213,3031,269,8,2449,210,0,0,271,32,4,9,108
桃園區,55～59歲,2,17007,32,12,475,97,2014,181,1096,141,1261,46,1735,228,4797,302,2,3109,230,0,0,1156,75,18,16,108
桃園區,60～64歲,1,12544,103,16,564,68,1857,106,821,68,1435,78,1303,158,2408,227,6,2189,167,7,2,911,41,9,6,108
桃園區,60～64歲,2,14649,17,6,208,36,1372,110,605,95,786,33,1290,152,3577,240,2,2980,269,11,5,2677,154,24,60,108
桃園區,65歲以上,1,23617,132,15,585,57,3328,147,1220,75,1571,47,2338,224,3210,211,3,2946,553,124,35,6287,376,133,193,108
桃園區,65歲以上,2,27910,17,1,138,19,1565,101,771,64,722,31,1909,180,3185,223,2,3992,502,131,34,12863,1115,345,1810,108
桃園區,15～19歲,1,13052,0,0,0,0,0,3373,0,62,0,4,180,4014,436,3661,141,126,887,0,0,14,154,0,0,109
桃園區,15～19歲,2,12419,0,0,0,0,0,3312,0,33,0,11,181,3995,265,2967,583,127,798,0,0,7,140,0,1,109
桃園區,20～24歲,1,15950,0,5,150,942,3593,7744,204,175,101,7,244,188,1469,796,69,185,51,0,0,3,21,3,0,109
桃園區,20～24歲,2,14835,0,2,81,587,4548,6855,117,103,465,9,257,145,935,345,146,162,61,0,0,4,13,0,0,109
